"","x","1N01T","1N02T","1N03T","1N04T","1N05T","1N06T","1N07T","1N08T","1N09T","1N10T","1N11T","1N12T","1N13T","1N14T","1S01T","1S02T","1S03T","1S04T","1S05T","1S06T","1S07T","1S08T","1S09T","2N01T","2N02T","2N03T","2N04T","2N05T","2N06T","2N07T","2N08T","2N09T","2N10T","2N11T","2N12T","2N13T","2N14T","2S01T","2S03T","2S04T","2S05T","2S06T","2S07T","2S08T","2S09T","3N01T","3N02T","3N03T","3S01T","3S02T","3S03T","3S04T"
"1",1,,,,,,,,,,,,,,,,,,,,,,,"000021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"000032",,,,,,,,,,,,,,,,,,,,
"3",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"000032",,,,,,,,,,,,,,,,,,,,,
"4",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"000032",,,,,,,,,,,,,,,,,,,,,,
"5",5,,,,,,,,,,,,"000033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6",6,,,,,,,,,,,"000033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7",7,,,,,,,,,,"000033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8",8,,,,,,,,,"000033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9",9,,,,,,,,"000033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10",10,,,,,,,"000033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"000113",,,,,,,,,,,,,,,
"12",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"000113",,,,,,,,,,,,,,,,
"13",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"000113",,,,,,,,,,,,,,,,,
"14",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"000113",,,,,,,,,,,,,,,,,,
"15",15,,,,,,,,,,"000113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"000113",,,,,,,,,,,,,,,,,,,
"17",17,,,,,,,,,,,,,,"000113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18",18,,,,,,,,,,,,,"000113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19",19,,,,,,,,,,,,"000113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20",20,,,,,,,,,,,"000113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"000114",,,,,,,,,,,,,,,,,,,,
"22",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"000114",,,,,,,,,,,,,,,,,,,,,
"23",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"000114",,,,,,,,,,,,,,,,,,,,,,
"24",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"000114",,,,,,,,,,,,,,,,,,,,,,,
"25",25,,,,,,,,,"000114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26",26,,,,,,,,"000114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27",27,,,,,,,"000114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28",28,,,,,,"000114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"000118",,,,,,,,,,,,,,,,,,,,,,
"30",30,,,,,,,,,,,,,,,,,,,,,,,"000355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31",31,,,,,,,,,,,,,,,,"000413",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"000710",,,,,,,,,,,,,
"33",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"000711",,,,,,,,,,,,
"34",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"000959",,,
"35",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001203",,,
"36",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001230",
"37",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001249",,,,,,,,
"38",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"001476",,,,,,,,
"39",39,,,,"003003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"003059",,,,,,,,,,,,,
"41",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"003515",,,,,,,,,,,,,
"42",42,,,,"003850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"003949",,,
"44",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"003954",,,,,,,,
"45",45,,,,,,,,,,,,,,,"004381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"46",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"004681",,,
"47",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"005251",,,,,,,,,,,,,,,,,,,,,
"48",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"005252",,,,,,,,,,,,,,,,,,,,,,,
"49",49,,,,,,,,,,,,,"005442",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"50",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"005610",,,,,,,,
"51",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"005724",,,,,,,,,,,,,
"52",52,"005791",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"53",53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"005874",,,,,,,,
"54",54,,,,,"006508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"55",55,,,,,,"006508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"56",56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"006601",,,
"57",57,,,,,,,"007242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"58",58,,,,,,,,"007242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"59",59,,,,,,,,,"007242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"007242",,,,,,,,,,,,,,,,,,,,,,
"61",61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"007242",,,,,,,,,,,,,,,,,,,,,
"62",62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"007242",,,,,,,,,,,,,,,,,,,,
"63",63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"007419",,,,,,,,,,,,,,,,,,,,,
"64",64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"007672",,,,,,,,,,,,,
"65",65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"008151",,,
"66",66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"008240"
"67",67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"008625",,,,,,,,,,,,
"68",68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"008645",,,,,,,,,,,,,
"69",69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"009161"
"70",70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"009524"
"71",71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"009586",
"72",72,,,,,,,,,,,,,,,"010248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"73",73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"010496",,,,,,,,,,,,,,,,,,,,,
"74",74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"010499"
"75",75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"010536"
"76",76,,,,,,,,,,,,,,,,,,,,,,,,,"011036",,,,,,,,,,,,,,,,,,,,,,,,,,,
"77",77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"011138",,,,,,,,,,,,,,,,,,,,,
"78",78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"011834"
"79",79,,,,"013115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"80",80,,,,"013173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"81",81,,,,"013173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"82",82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"013994",,,,,,,,,,,,,,,,,,
"83",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"014253",,,
"84",84,,,,"014864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"85",85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"015115",,,,,,,,,,,,,,,,,,
"86",86,,"015116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"87",87,,,"015430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"88",88,,"015430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"89",89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"016276"
"90",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"016404"
"91",91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"016613",,,
"92",92,,,,,,,,,,,,,,,,"017001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"93",93,,,,,,,,,,,,,,,"017032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"94",94,,,,,,,,,,,,,,,,,,,,,,,"017848",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"95",95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"017888",,,
"96",96,"018164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"97",97,,,,,,,,,,,,,,,,,,,,"018225",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"98",98,,,,,,,,,,,,,,,,,,,,"018267",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"99",99,,,,,,,,,,,,,,,"018431",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100",100,,,,,,,,,,,,,,,"018801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"101",101,,,,,,,,,,,,,,,,,,"019251",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"102",102,,,,,,,,,,,,,,,,,,"019287",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"103",103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"019605",,,
"104",104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"019805",,,,,
"105",105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"019922"
