"","solicitacao","localizacao","descricao","tempo_abertura","tempo_falha","tempo_encerramento","cmt","tempo_duracao","cdv"
"1",21,"SINCDVPAZ","FO INTERMITENTE CDV 1S09T - PAZ1 REST CIENTE/EVERSON",2013-06-15 12:36:00,2013-06-15 12:36:00,2013-06-17 15:04:00,"RECS",181680s (~2.1 days),"1S09T"
"2",32,"SINCDVFAL","FALSA OCUPACAO CONSTANTE NOS CDV'S 2N09T,2N08T,2N07T NA VIA 2 (APOIS MANOBRA DO 13.8) CIENTE: MARCELO/REST ",2013-06-15 01:55:00,2013-06-15 01:55:00,2013-06-24 07:48:00,"NEV",798780s (~1.32 weeks),"2N09T-2N08T-2N07T"
"3",33,"SINCDVIMB","FALSA OCUPACAO CONSTANTE NOS CDV'S 1N12T,1N11T,1N10T,1N09T,1N08T,1N07T NA VIA 1 (APOIS MANOBRA DO 13.8) CIENTE:MARCELO/REST ",2013-06-15 01:59:00,2013-06-15 01:59:00,2013-06-29 12:15:00,"NEV",1246560s (~2.06 weeks),"1N12T-1N11T-1N10T-1N09T-1N08T-1N07T"
"4",113,"SINCDVIMB","FO CDVS 2N14T, 2N13T, 2N12T, 2N11T, 1N10T, 2N10T, 1N14T, 1N13T, 1N12T E 1N11T",2013-06-18 23:09:00,2013-06-18 20:40:00,2013-06-25 11:44:00,"NEV",563700s (~6.52 days),"2N14T-2N13T-2N12T-2N11T-1N10T-2N10T-1N14T-1N13T-1N12T-1N11T"
"5",114,"SINCDVFAL","FO CDVS 2N09T, 2N08T, 2N07T, 2N06T, 1N09T, 1N08T, 1N07T E 1N06T ",2013-06-18 23:15:00,2013-06-18 20:40:00,2013-06-25 12:00:00,"NEV",564300s (~6.53 days),"2N09T-2N08T-2N07T-2N06T-1N09T-1N08T-1N07T-1N06T"
"6",118,"SINCDVIMB","FO CONS CDVS 1M12, 1N11, 1N10, 1N09, 1N08, 1N07, 2N09, 2N08 E 2N07",2013-06-18 23:46:00,2013-06-18 23:53:00,2013-06-25 21:33:00,"NEV",596820s (~6.91 days),"2N07T"
"7",355,"SINCDVPAZ","F.O NO CDV 1S09T LUIS MELO CIENTE",2013-06-30 22:46:00,2013-06-30 22:20:00,2013-07-01 14:44:00,"RECS",57480s (~15.97 hours),"1S09T"
"8",413,"SINCDVRECSUL","ELO005FALSA OCUPACAO CDV 1S02T VIA 1 XAVIER CIENTE",2013-07-03 09:41:00,2013-07-03 06:30:00,2013-07-03 12:47:00,"RECS",11160s (~3.1 hours),"1S02T"
"9",710,"SINCDVRECSUL","BIPOINT B CDV 2S03T - ACESO CONSTANTE IMPEDINDO ABERTURA DO SINALEIRO 2S REST CIENTE - LUIZ MELO",2013-07-16 12:48:00,2013-07-16 12:36:00,2013-07-18 08:20:00,"RECS",156720s (~1.81 days),"2S03T"
"10",711,"SINCDVRECSUL","CODIGO ZERO CDV 2S04T LINHA 2 RECIFE SUL REST CIENTE - OSVALDO",2013-07-16 13:59:00,2013-07-16 13:55:00,2013-07-16 20:54:00,"RECS",24900s (~6.92 hours),"2S04T"
"11",959,"SINCDVREC","FALSA OCUPACAO CONSTANTE NOS CDV'S 22,3S01T REST.CIENTE:MACILIO",2013-07-27 12:22:00,2013-07-27 11:51:00,2013-07-27 14:04:00,NA,6120s (~1.7 hours),"3S01T"
"12",1203,"SINCDVRECSUL","FALSA OCUPACAO CONST NO CDV 3S01T ANGELO(CORRETIVA SUL)",2013-08-06 15:05:00,2013-08-06 14:50:00,2013-08-08 16:04:00,"RECS",176340s (~2.04 days),"3S01T"
"13",1230,"SINCDVREC","BIPOINT CDV 3S03T COM SINALIZACAO CONSTANTE - ROTA 2A2B NAO CONFIGURA ANGELO CIENTE",2013-08-07 13:41:00,2013-08-07 13:27:00,2013-08-08 14:32:00,NA,89460s (~1.04 days),"3S03T"
"14",1249,"SINCDVLAR","FO CDV 2S08T . N. LAR2 ARIADNA CIENTE",2013-08-08 13:24:00,2013-08-08 11:40:00,2013-08-08 14:14:00,"CAJ",3000s (~50 minutes),"2S08T"
"15",1476,"SINCDVPAZ","F.O INTERMITENTE NO CDV 2S08T XAVIER CIENTE ",2013-08-19 10:31:00,2013-08-19 10:31:00,2013-08-19 15:18:00,"RECS",17220s (~4.78 hours),"2S08T"
"16",3003,"SINCDVSHO","CODIGO 0 NO CDV 1N04T (INTERMITENTE). ANGELO CIENTE",2013-09-26 19:32:00,2013-09-26 19:32:00,2013-09-26 21:37:00,"NEV",7500s (~2.08 hours),"1N04T"
"17",3059,"SINCDVJOASUL","F.O. INTERMITENTE NO CDV 2S03T A NORTE DA VIA 2 CIENTE AGLIBERTO / REST ",2013-09-28 19:08:00,2013-09-28 19:08:00,2014-01-20 20:57:00,"RECS",9856140s (~16.3 weeks),"2S03T"
"18",3515,"SINCDVJOA","JOAS FALSA OCUPACAO NO CDV 2S03T 2º CDV A NORTE VIA 2 CIENTE DALVA ",2013-10-09 20:35:00,2013-10-09 20:35:00,2013-10-09 22:17:00,NA,6120s (~1.7 hours),"2S03T"
"19",3850,"SINCDVSHO","CODIGO ZERO CDV 1N04T SUL DE SHO. ARIADNER DA SUL CIENTE",2013-10-17 11:07:00,2013-10-17 10:17:00,2013-10-18 12:05:00,"NEV",89880s (~1.04 days),"1N04T"
"20",3949,"SINCDVREC","FALSA OCUPACAO NOS CDV'S 22,40, 3S01T FLASH DO TUE 21 VLADIMIR DO REST.CIENTE",2013-10-19 08:40:00,2013-10-19 06:49:00,2013-10-19 11:49:00,NA,11340s (~3.15 hours),"3S01T"
"21",3954,"SINCDVPAZ"," FALSA OCUPACAO NO CDV 2S08T VIA 1 NORT.2 VLADIMIR DO REST.CIENTE",2013-10-19 08:50:00,2013-10-19 08:50:00,2014-01-16 16:06:00,"RECS",7715760s (~12.76 weeks),"2S08T"
"22",4381,"SINCDVREC","F. O. NOS CDV'S 18,40,22,1S01T (FLASH DO TUE 18 GOMES CIENTE",2013-10-29 19:33:00,2013-10-29 14:30:00,2013-10-29 21:28:00,NA,6900s (~1.92 hours),"1S01T"
"23",4681,"SINCDVRECSUL","FALSA OCUPACAO NO CDV3S01T FALHA RECEBIDA PELO CIM AS 8H45, POREM PASSADA AS 7HS PARA O REST. PELO SUPERVISOR WILSON.",2013-11-05 09:38:00,2013-11-05 07:00:00,2013-11-05 13:41:00,"RECS",14580s (~4.05 hours),"3S01T"
"24",5251,"SINCDVLAR","BIPOINT 2N08TB ACESO INDEVIDAMENTE XAVIER CIENTE",2013-11-18 07:56:00,2013-11-18 06:40:00,2013-11-19 21:52:00,"CAJ",136560s (~1.58 days),"2N08T"
